date,rf
2022-10-18,-3.808083777834259e-05
2022-10-19,6.804408808869233e-05
2022-10-20,0.0001094791285460861
2022-10-21,0.00012934480974546858
2022-10-24,-8.116224332455069e-05
2022-10-25,0.00016821540528444423
2022-10-26,0.00016650804093920613
2022-10-27,9.205382434673837e-05
2022-10-28,3.888846145772007e-05
2022-10-31,-7.83159388051402e-06
2022-11-01,0.00011396017793519064
2022-11-02,0.00016446565221839293
2022-11-03,6.34183026344548e-05
2022-11-04,0.00021269037612525743
2022-11-07,-0.00012565111397577766
2022-11-08,0.00016269375985289436
2022-11-09,9.171069902058626e-05
2022-11-10,0.000161250202263874
2022-11-11,0.00011467947786902855
2022-11-14,-3.8400208089761634e-05
2022-11-15,0.00015977342446582554
2022-11-16,0.00011602742282934564
2022-11-17,0.00013703098413442305
2022-11-18,7.424997022997815e-05
2022-11-21,-4.285570232931413e-05
2022-11-22,0.00015770453900554315
2022-11-23,0.00011790966607194697
2022-11-25,9.912157008562517e-05
2022-11-28,-2.519194865313601e-05
2022-11-29,0.00017326898960945414
2022-11-30,0.00011950410553973612
2022-12-01,0.0002448358448661203
2022-12-02,0.00011845806893151511
2022-12-05,-8.41819812302802e-07
2022-12-06,0.00011981912083069979
2022-12-07,0.00028281780809469304
2022-12-08,0.00018680893316935787
2022-12-09,7.151258369075819e-05
2022-12-12,-0.00010120836053961746
2022-12-13,0.00018505340473051746
2022-12-14,0.00018333717388263615
2022-12-15,0.00013957978077572264
2022-12-16,0.0001597376938922146
2022-12-19,-4.145936981758691e-05
2022-12-20,0.0001787309096898948
2022-12-21,0.00017701841607720148
